rob,.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
0.9,60,100,0.1,0.35,0.1,2,9,6,0.8976097051097052
0.9,60,100,0.1,0.5,0.1,3,8,6,0.8978174603174603
0.9,60,100,0.1,0.6,0.1,1,9,8,0.8995098039215687
0.9,60,100,0.1,0.6,0.1,1,10,8,0.9000276854928018
0.9,60,100,0.1,0.5,0.1,3,7,8,0.9001988751988752
0.9,60,100,0.1,0.5,0.1,2,6,5,0.900700456950457
0.9,60,100,0.1,0.45,0.1,3,10,5,0.903304125068831
0.9,60,100,0.1,0.6,0.1,1,10,10,0.905801467051467
0.9,60,100,0.1,0.6,0.1,3,5,5,0.9114468864468864
0.9,60,100,0.1,0.3,0.1,3,10,5,0.9115646258503401
0.9,60,100,0.1,0.6,0.1,3,9,9,0.9141260926749366
0.9,60,100,0.1,0.3,0.1,2,6,10,0.9249871991807476
0.9,60,100,0.1,0.4,0.1,1,6,9,0.9278505291005291
0.9,60,100,0.15000000000000002,0.5,0.1,1,10,9,0.9284656084656084
0.9,60,100,0.15000000000000002,0.55,0.1,2,7,8,0.9320512820512821
0.9,60,100,0.2,0.4,0.1,1,6,9,0.9333333333333332
0.9,60,100,0.1,0.45,0.1,3,6,6,0.9398732220160791
0.9,60,100,0.1,0.3,0.1,2,7,9,0.940952380952381
0.9,60,100,0.15000000000000002,0.45,0.1,2,9,8,0.9477104377104377
1,60,100,0.1,0.6,0.1,1,9,9,0.9575210503781932
1,60,100,0.1,0.4,0.1,2,8,6,0.9642089093701997
1,60,100,0.15000000000000002,0.55,0.1,2,8,6,0.9660714285714286
1,60,100,0.1,0.45,0.1,1,7,6,0.968505291005291
1,60,100,0.1,0.5,0.1,3,8,10,0.9729026042183937
1,60,100,0.1,0.35,0.1,1,10,10,0.9899019961519961
1,60,100,0.1,0.4,0.1,3,9,7,0.991552937462864
1,60,100,0.1,0.45,0.1,2,10,9,0.9931078643578644
1,60,100,0.1,0.45,0.1,2,9,8,0.9948205941415468
1,60,100,0.1,0.55,0.1,3,9,9,0.9952605958855959
1,60,100,0.3,0.4,0.1,1,8,8,1
1,60,100,0.1,0.6,0.1,1,6,10,1.005
1,60,100,0.1,0.5,0.1,2,9,8,1.0053914603914604
1,60,100,0.15000000000000002,0.5,0.1,1,5,8,1.0143537414965986
1,60,100,0.1,0.35,0.1,2,9,5,1.0147286821705426
1,60,100,0.1,0.6,0.1,2,9,9,1.017437855645403
1,60,100,0.1,0.6,0.1,2,8,5,1.0178249678249678
1,60,100,0.1,0.45,0.1,3,7,6,1.020508658008658
1,60,100,0.1,0.6,0.1,2,5,8,1.024546485260771
1,60,100,0.1,0.45,0.1,2,5,8,1.0270833333333333
1,60,100,0.1,0.45,0.1,3,5,7,1.0281944444444444
1,60,100,0.15000000000000002,0.3,0.1,1,10,6,1.0292397660818713
1,60,100,0.1,0.5,0.1,3,10,8,1.030924445924446
1,60,100,0.1,0.35,0.1,3,6,9,1.0442592592592592
1,60,100,0.1,0.5,0.1,2,5,7,1.0462317252639832
1,60,100,0.15000000000000002,0.6,0.1,1,9,5,1.0473684210526315
1.1,60,100,0.1,0.55,0.1,3,8,8,1.0519334164356207
1.1,60,100,0.1,0.35,0.1,3,6,5,1.0621489621489622
1.1,60,100,0.1,0.45,0.1,3,8,6,1.063564814814815
1.1,60,100,0.1,0.35,0.1,1,5,10,1.0695555833055834
1.1,60,100,0.1,0.4,0.1,3,10,7,1.075952380952381
1.1,60,100,0.1,0.35,0.1,1,5,6,1.0833333333333333
1.1,60,100,0.1,0.45,0.1,3,8,8,1.0866838716838716
1.1,60,100,0.1,0.4,0.1,1,8,5,1.0893260779624416
1.1,60,100,0.1,0.35,0.1,1,8,8,1.094156746031746
1.1,60,100,0.15000000000000002,0.5,0.1,2,7,10,1.1006445406445406
1.1,60,100,0.1,0.3,0.1,3,10,8,1.1068628080856342
1.1,60,100,0.15000000000000002,0.3,0.1,1,10,10,1.1071428571428572
1.1,60,100,0.1,0.3,0.1,2,6,9,1.1319209039548022
1.1,60,100,0.1,0.6,0.1,3,5,7,1.1370244654335564
1.1,60,100,0.1,0.4,0.1,2,7,9,1.1382708032708033
1.1,60,100,0.1,0.35,0.1,3,5,10,1.1427211713295304
1.2,60,100,0.15000000000000002,0.3,0.1,1,9,8,1.1614285714285715
1.2,60,100,0.1,0.5,0.1,3,5,9,1.1617087019260932
1.2,60,100,0.1,0.35,0.1,2,6,8,1.1812109187109188
1.2,60,100,0.1,0.3,0.1,1,6,7,1.1826338344195486
1.2,60,100,0.15000000000000002,0.3,0.1,3,9,6,1.1950036061285354
1.2,60,100,0.1,0.4,0.1,2,5,5,1.1986666666666668
1.2,60,100,0.1,0.55,0.1,2,10,8,1.2100162337662337
1.2,60,100,0.1,0.6,0.1,1,8,9,1.2156862745098038
1.2,60,100,0.15000000000000002,0.3,0.1,2,7,7,1.2183528498823477
1.2,60,100,0.2,0.6,0.1,1,9,10,1.2287037037037036
1.2,60,100,0.1,0.6,0.1,1,7,5,1.228846153846154
1.2,60,100,0.1,0.6,0.1,1,5,9,1.2362103174603174
1.2,60,100,0.1,0.35,0.1,2,5,5,1.238888888888889
1.2,60,100,0.15000000000000002,0.55,0.1,2,5,5,1.244866734572617
1.3,60,100,0.15000000000000002,0.4,0.1,3,6,10,1.250634148273467
1.3,60,100,0.15000000000000002,0.5,0.1,3,9,6,1.2507528417275808
1.3,60,100,0.15000000000000002,0.6,0.1,3,6,5,1.2583666333666335
1.3,60,100,0.1,0.5,0.1,2,6,6,1.2609523809523808
1.3,60,100,0.15000000000000002,0.5,0.1,1,5,6,1.261111111111111
1.3,60,100,0.15000000000000002,0.6,0.1,2,7,10,1.2621825396825397
1.3,60,100,0.15000000000000002,0.35,0.1,3,6,7,1.2694048571545233
1.3,60,100,0.1,0.55,0.1,3,9,6,1.2709395641051988
1.3,60,100,0.15000000000000002,0.45,0.1,1,5,8,1.2720720720720722
1.3,60,100,0.15000000000000002,0.5,0.1,2,9,6,1.2817347374847374
1.3,60,100,0.15000000000000002,0.45,0.1,2,6,9,1.290978835978836
1.3,60,100,0.1,0.3,0.1,1,6,10,1.3019444444444443
1.3,60,100,0.15000000000000002,0.5,0.1,3,7,8,1.3029804102201548
1.3,60,100,0.15000000000000002,0.5,0.1,3,7,6,1.306869598720089
1.3,60,100,0.1,0.4,0.1,1,6,5,1.3076923076923077
1.3,60,100,0.15000000000000002,0.3,0.1,1,9,10,1.3335515873015873
1.3,60,100,0.15000000000000002,0.35,0.1,2,8,7,1.3442393536020987
1.4,60,100,0.1,0.45,0.1,1,10,10,1.3627380952380952
1.4,60,100,0.15000000000000002,0.3,0.1,2,7,5,1.3649108688582372
1.4,60,100,0.15000000000000002,0.3,0.1,2,10,6,1.370371436842025
1.4,60,100,0.15000000000000002,0.4,0.1,2,5,7,1.3808420052170052
1.4,60,100,0.15000000000000002,0.4,0.1,3,6,7,1.3837122252747254
1.4,60,100,0.15000000000000002,0.6,0.1,2,6,9,1.3886475683645496
1.4,60,100,0.1,0.35,0.1,2,5,8,1.4079794909582144
1.4,60,100,0.15000000000000002,0.45,0.1,3,6,9,1.4115916098966947
1.4,60,100,0.15000000000000002,0.35,0.1,2,10,5,1.4116691468253968
1.4,60,100,0.1,0.45,0.1,2,6,7,1.4142213642213641
1.4,60,100,0.15000000000000002,0.4,0.1,1,9,8,1.4147536817757407
1.4,60,100,0.25,0.3,0.1,1,6,5,1.4166666666666667
1.4,60,100,0.15000000000000002,0.35,0.1,3,5,8,1.4172411660298472
1.4,60,100,0.15000000000000002,0.4,0.1,1,6,8,1.4196048632218845
1.4,60,100,0.15000000000000002,0.4,0.1,1,10,9,1.4376007751994595
1.4,60,100,0.15000000000000002,0.5,0.1,1,8,10,1.445229087921745
1.5,60,100,0.15000000000000002,0.5,0.1,3,8,7,1.453217117142533
1.5,60,100,0.15000000000000002,0.3,0.1,1,8,10,1.455
1.5,60,100,0.15000000000000002,0.45,0.1,1,7,9,1.4558008658008659
1.5,60,100,0.15000000000000002,0.4,0.1,1,8,7,1.456005291005291
1.5,60,100,0.15000000000000002,0.55,0.1,2,10,10,1.4574099285271662
1.5,60,100,0.15000000000000002,0.5,0.1,3,6,7,1.4584626883646492
1.5,60,100,0.15000000000000002,0.4,0.1,2,5,9,1.4699143217893218
1.5,60,100,0.15000000000000002,0.55,0.1,1,10,8,1.4861111111111112
1.5,60,100,0.15000000000000002,0.35,0.1,1,8,10,1.4921832443155973
1.5,60,100,0.15000000000000002,0.6,0.1,3,10,6,1.4944345931845933
1.5,60,100,0.15000000000000002,0.4,0.1,3,10,7,1.4946426429833333
1.5,60,100,0.15000000000000002,0.3,0.1,2,10,8,1.499576244416482
1.5,60,100,0.15000000000000002,0.3,0.1,3,6,8,1.5019522627238953
1.5,60,100,0.15000000000000002,0.45,0.1,2,10,7,1.5035102283826194
1.5,60,100,0.1,0.3,0.1,1,6,6,1.5129032258064516
1.5,60,100,0.15000000000000002,0.3,0.1,1,9,9,1.5175883256528417
1.5,60,100,0.15000000000000002,0.4,0.1,3,7,5,1.5181079450968935
1.5,60,100,0.1,0.55,0.1,1,5,7,1.5186781609195403
1.5,60,100,0.1,0.4,0.1,3,5,6,1.5196938775510205
1.5,60,100,0.2,0.45,0.1,1,6,6,1.5269786283675173
1.5,60,100,0.15000000000000002,0.45,0.1,1,6,10,1.5321291208791208
1.5,60,100,0.15000000000000002,0.4,0.1,1,9,10,1.5334584884504254
1.5,60,100,0.15000000000000002,0.6,0.1,2,9,5,1.5351457929044137
1.5,60,100,0.15000000000000002,0.3,0.1,2,6,10,1.5382510477036395
1.5,60,100,0.15000000000000002,0.4,0.1,2,8,6,1.5466463284761112
1.5,60,100,0.15000000000000002,0.3,0.1,3,7,6,1.5481754884706047
1.6,60,100,0.15000000000000002,0.55,0.1,1,6,5,1.550596474232838
1.6,60,100,0.15000000000000002,0.55,0.1,3,5,7,1.5514353089720736
1.6,60,100,0.15000000000000002,0.3,0.1,3,7,8,1.5534914837965241
1.6,60,100,0.15000000000000002,0.3,0.1,2,5,9,1.5553763085805925
1.6,60,100,0.15000000000000002,0.45,0.1,3,8,7,1.5586308629826442
1.6,60,100,0.1,0.4,0.1,3,10,6,1.558868006993007
1.6,60,100,0.15000000000000002,0.6,0.1,1,8,10,1.5606246993746993
1.6,60,100,0.15000000000000002,0.35,0.1,3,9,5,1.5715295164131504
1.6,60,100,0.15000000000000002,0.45,0.1,2,5,5,1.5836340130457778
