.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
60,100,0.2,0.45,0.1,3,9,9,2.841275738325141
60,100,0.2,0.5,0.1,1,9,8,2.1164649873444543
60,100,0.25,0.5,0.1,2,7,8,3.810114021525095
60,100,0.15000000000000002,0.55,0.1,3,9,8,2.294711604070484
60,100,0.15000000000000002,0.4,0.1,2,5,8,2.901970545794075
60,100,0.25,0.45,0.1,1,6,5,3.630239951637347
60,100,0.25,0.55,0.1,2,8,6,3.445457300151466
60,100,0.25,0.45,0.1,3,7,10,2.894872293089009
60,100,0.3,0.4,0.1,1,7,6,5.462540656987246
60,100,0.1,0.4,0.1,3,5,6,1.5196938775510205
60,100,0.1,0.6,0.1,2,8,5,1.0178249678249678
60,100,0.15000000000000002,0.6,0.1,2,6,5,1.6039259050128616
60,100,0.1,0.35,0.1,2,9,6,0.8976097051097052
60,100,0.1,0.6,0.1,1,8,9,1.2156862745098038
60,100,0.15000000000000002,0.55,0.1,2,8,9,1.7779603856022483
60,100,0.3,0.55,0.1,1,10,7,5.764308420092071
60,100,0.3,0.35,0.1,2,10,9,5.422421201279139
60,100,0.2,0.35,0.1,3,9,9,2.138457533477191
60,100,0.2,0.3,0.1,2,7,9,2.118504173972173
60,100,0.3,0.6,0.1,1,5,8,4.658354694529892
60,100,0.25,0.55,0.1,2,9,6,3.7650077449553385
60,100,0.1,0.35,0.1,1,8,8,1.094156746031746
60,100,0.2,0.6,0.1,3,8,10,2.711720896488894
60,100,0.2,0.6,0.1,3,7,10,2.595876477852327
60,100,0.15000000000000002,0.3,0.1,2,5,9,1.5553763085805925
60,100,0.3,0.55,0.1,1,7,9,4.498278988535279
60,100,0.25,0.5,0.1,3,6,7,3.9526139199968804
60,100,0.15000000000000002,0.4,0.1,3,8,6,0.8761904761904762
60,100,0.1,0.35,0.1,2,6,8,1.1812109187109188
60,100,0.1,0.5,0.1,3,7,10,0.8069579578073492
60,100,0.2,0.45,0.1,3,5,8,2.3954728901929387
60,100,0.2,0.35,0.1,3,7,5,2.5776520762087074
60,100,0.3,0.3,0.1,1,7,7,4.7929974500030905
60,100,0.25,0.5,0.1,1,7,9,3.167837236381805
60,100,0.1,0.55,0.1,1,9,10,0.5069444444444444
60,100,0.25,0.35,0.1,3,10,10,3.23476073636128
60,100,0.15000000000000002,0.4,0.1,3,10,7,1.4946426429833333
60,100,0.2,0.55,0.1,3,5,6,2.6561936166338618
60,100,0.25,0.4,0.1,2,10,7,3.146189014815614
60,100,0.2,0.35,0.1,2,8,8,2.7144011258260607
60,100,0.25,0.5,0.1,3,7,5,2.718591153490329
60,100,0.1,0.4,0.1,2,9,10,1.5926390494037552
60,100,0.3,0.55,0.1,3,5,8,5.196525485851689
60,100,0.3,0.5,0.1,3,10,7,4.436202041207476
60,100,0.15000000000000002,0.35,0.1,2,8,7,1.3442393536020987
60,100,0.1,0.5,0.1,1,5,6,0.6547619047619048
60,100,0.25,0.35,0.1,3,8,6,3.520281681864422
60,100,0.3,0.55,0.1,3,10,8,4.804024828545306
60,100,0.25,0.6,0.1,3,10,10,3.991676130082443
60,100,0.15000000000000002,0.6,0.1,1,9,7,1.6681509729586652
60,100,0.15000000000000002,0.5,0.1,1,8,5,2.540033068783069
60,100,0.1,0.3,0.1,1,6,6,1.5129032258064516
60,100,0.3,0.5,0.1,2,10,5,5.820623783817367
60,100,0.2,0.5,0.1,2,5,10,1.912550580201233
60,100,0.25,0.3,0.1,2,5,7,4.588336968894167
60,100,0.1,0.5,0.1,3,7,7,0.8802044252044252
60,100,0.15000000000000002,0.3,0.1,3,7,6,1.5481754884706047
60,100,0.1,0.3,0.1,3,6,9,0.8139047619047619
60,100,0.1,0.45,0.1,3,5,7,1.0281944444444444
60,100,0.15000000000000002,0.55,0.1,1,9,10,2.4859998670733794
60,100,0.25,0.55,0.1,3,7,8,3.412712555467171
60,100,0.1,0.5,0.1,3,5,9,1.1617087019260932
60,100,0.1,0.4,0.1,2,7,7,1.6128130287221196
60,100,0.1,0.55,0.1,3,10,5,0.6750700280112044
60,100,0.25,0.35,0.1,2,10,7,2.3690209000689473
60,100,0.1,0.4,0.1,1,9,9,0.23385416666666667
60,100,0.1,0.5,0.1,2,6,6,1.2609523809523808
60,100,0.3,0.4,0.1,3,10,6,4.753275748054278
60,100,0.3,0.5,0.1,1,5,10,5.736097381509152
60,100,0.2,0.6,0.1,2,10,7,2.056960872736755
60,100,0.25,0.3,0.1,3,7,9,3.2224992298602086
60,100,0.15000000000000002,0.3,0.1,3,5,10,1.7499328328309058
60,100,0.2,0.5,0.1,1,9,6,1.9359930578696138
60,100,0.3,0.3,0.1,2,9,6,4.84535702046906
60,100,0.2,0.5,0.1,1,6,9,2.2601835890432294
60,100,0.1,0.55,0.1,3,6,8,0.8726341487969395
60,100,0.3,0.55,0.1,2,9,6,3.6529108193745734
60,100,0.2,0.4,0.1,2,10,10,2.3522160467958746
